upper,lower,straight_through,review_share,wrong_merges,missed_duplicates,merge_precision
0.8,0.05,0.9450998654662113,0.054900134533788725,12,19,0.9975545139596494
0.8,0.1,0.9632101831729276,0.036789816827072386,12,41,0.9975545139596494
0.8,0.3,0.9810617820552623,0.018938217944737712,12,94,0.9975545139596494
0.9,0.05,0.9374417882645141,0.06255821173548592,4,19,0.9991594872872452
0.9,0.1,0.9555521059712304,0.044447894028769586,4,41,0.9991594872872452
0.9,0.3,0.9734037048535652,0.0265962951464348,4,94,0.9991594872872452
0.95,0.05,0.9239884093966677,0.07601159060333229,3,19,0.9993331851522561
0.95,0.1,0.942098727103384,0.05790127289661595,3,41,0.9993331851522561
0.95,0.3,0.9599503259857187,0.04004967401428128,3,94,0.9993331851522561
0.99,0.05,0.8725551071095933,0.12744489289040672,0,19,1.0
0.99,0.1,0.8906654248163096,0.10933457518369039,0,41,1.0
0.99,0.3,0.9085170236986443,0.09148297630135571,0,94,1.0
0.995,0.05,0.8625168167235848,0.13748318327641518,0,19,1.0
0.995,0.1,0.8806271344303012,0.11937286556969884,0,41,1.0
0.995,0.3,0.8984787333126358,0.10152126668736416,0,94,1.0
